Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
verify nama lengkap,Chrome 91.0.4472.124,,,2021-06-29 21:50:36,2021-06-29 21:52:54,2m - 18.455s,PASSED
,,,,,,,
Test Cases/Daftar Akun Page/Verify Nama Lengkap character allowed,Chrome 91.0.4472.124,,,2021-06-29 21:50:37,2021-06-29 21:51:22,44.585s,PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-06-29 21:50:39,2021-06-29 21:50:49,10.331s,PASSED
maximizeWindow(),Chrome 91.0.4472.124,,,2021-06-29 21:50:49,2021-06-29 21:50:50,0.673s,PASSED
"navigateToUrl(""https://dashboard.pawoon.com/login"")",Chrome 91.0.4472.124,,,2021-06-29 21:50:50,2021-06-29 21:50:58,8.172s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS - My Pawoon v2 - Login/Daftar sekarang""))",Chrome 91.0.4472.124,,,2021-06-29 21:50:58,2021-06-29 21:51:05,6.561s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_Namalengkap""), ""Renaldo Pontohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:05,2021-06-29 21:51:07,2.623s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_email""), ""bangdado09@gmail.com"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:07,2021-06-29 21:51:08,0.809s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_phone_number""), ""081211336018"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:08,2021-06-29 21:51:09,0.731s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_password""), ""123456"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:09,2021-06-29 21:51:10,0.913s,PASSED
"verifyElementNotChecked(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""), 2)",Chrome 91.0.4472.124,,,2021-06-29 21:51:10,2021-06-29 21:51:11,1.759s,PASSED
"check(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""))",Chrome 91.0.4472.124,,,2021-06-29 21:51:11,2021-06-29 21:51:14,2.915s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS/Page_Pawoon POS/button_Lanjutkan1""))",Chrome 91.0.4472.124,,,2021-06-29 21:51:14,2021-06-29 21:51:15,0.904s,PASSED
"verifyElementPresent(findTestObject(""Pawoon/informasi bisnis page/Page_Pawoon POS/teks_Informasi Bisnis""), 0)",Chrome 91.0.4472.124,,,2021-06-29 21:51:15,2021-06-29 21:51:18,2.492s,PASSED
delay(2),Chrome 91.0.4472.124,,,2021-06-29 21:51:18,2021-06-29 21:51:20,2.138s,PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-06-29 21:51:20,2021-06-29 21:51:22,1.796s,PASSED
,,,,,,,
Test Cases/Daftar Akun Page/Verify Nama Lengkap empty input,Chrome 91.0.4472.124,,,2021-06-29 21:51:22,2021-06-29 21:51:55,32.766s,PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-06-29 21:51:23,2021-06-29 21:51:31,8.000s,PASSED
maximizeWindow(),Chrome 91.0.4472.124,,,2021-06-29 21:51:31,2021-06-29 21:51:32,0.253s,PASSED
"navigateToUrl(""https://dashboard.pawoon.com/login"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:32,2021-06-29 21:51:39,7.118s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS - My Pawoon v2 - Login/Daftar sekarang""))",Chrome 91.0.4472.124,,,2021-06-29 21:51:39,2021-06-29 21:51:41,2.801s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_Namalengkap""), ""Renaldo Pontohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:41,2021-06-29 21:51:43,1.973s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_email""), ""bangdado09@gmail.com"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:43,2021-06-29 21:51:45,1.346s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_phone_number""), ""081211336018"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:45,2021-06-29 21:51:46,0.808s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_password""), ""123456"")",Chrome 91.0.4472.124,,,2021-06-29 21:51:46,2021-06-29 21:51:46,0.661s,PASSED
"verifyElementNotChecked(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""), 2)",Chrome 91.0.4472.124,,,2021-06-29 21:51:46,2021-06-29 21:51:47,0.806s,PASSED
"check(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""))",Chrome 91.0.4472.124,,,2021-06-29 21:51:47,2021-06-29 21:51:49,1.701s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS/Page_Pawoon POS/button_Lanjutkan1""))",Chrome 91.0.4472.124,,,2021-06-29 21:51:49,2021-06-29 21:51:50,0.841s,PASSED
"verifyElementPresent(findTestObject(""Pawoon/informasi bisnis page/Page_Pawoon POS/teks_Informasi Bisnis""), 0)",Chrome 91.0.4472.124,,,2021-06-29 21:51:50,2021-06-29 21:51:51,1.580s,PASSED
delay(2),Chrome 91.0.4472.124,,,2021-06-29 21:51:51,2021-06-29 21:51:53,2.011s,PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-06-29 21:51:53,2021-06-29 21:51:55,1.574s,PASSED
,,,,,,,
Test Cases/Daftar Akun Page/Verify Nama Lengkap maximum character,Chrome 91.0.4472.124,,,2021-06-29 21:51:55,2021-06-29 21:52:25,29.928s,PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-06-29 21:51:56,2021-06-29 21:52:02,5.998s,PASSED
maximizeWindow(),Chrome 91.0.4472.124,,,2021-06-29 21:52:02,2021-06-29 21:52:02,0.319s,PASSED
"navigateToUrl(""https://dashboard.pawoon.com/login"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:02,2021-06-29 21:52:08,6.220s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS - My Pawoon v2 - Login/Daftar sekarang""))",Chrome 91.0.4472.124,,,2021-06-29 21:52:08,2021-06-29 21:52:11,2.996s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_Namalengkap""), ""Renaldo Pontohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:11,2021-06-29 21:52:13,1.911s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_email""), ""bangdado09@gmail.com"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:13,2021-06-29 21:52:14,0.797s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_phone_number""), ""081211336018"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:14,2021-06-29 21:52:15,0.762s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_password""), ""123456"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:15,2021-06-29 21:52:16,0.762s,PASSED
"verifyElementNotChecked(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""), 2)",Chrome 91.0.4472.124,,,2021-06-29 21:52:16,2021-06-29 21:52:16,0.540s,PASSED
"check(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""))",Chrome 91.0.4472.124,,,2021-06-29 21:52:16,2021-06-29 21:52:18,1.754s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS/Page_Pawoon POS/button_Lanjutkan1""))",Chrome 91.0.4472.124,,,2021-06-29 21:52:18,2021-06-29 21:52:19,0.776s,PASSED
